game Majora's Mask Recompiled
locations
Southern Swamp Tour Witch Gift	Southern Swamp Healing Koume
Southern Swamp Healthy Witch Request	Southern Swamp Kotake Item
Romani Ranch Defended Against Aliens	Romani Ranch Aliens
Mountain Village Invisible Ladder Cave Healing Invisible Goron	Mountain Village Healing Darmani
Romani Ranch Bremen Mask March Baby Cuccos	Romani Ranch Baby Cuccos March
Ikana Canyon Music Box Mummy	Ikana Canyon Healing Pamela's Father
Mountain Village Feeding Freezing Goron	Mountain Village Hungry Goron
Termina Northern Midnight Dancer	Termina Healing Kamaro
Great Bay Marine Research Lab Zora Egg Delivery Song	Great Bay Baby Zora Song
Woodfall Temple Wooden Flower Pot SF	Woodfall Temple Pot SF
Woodfall Temple Push Block Beehive SF	Woodfall Temple Bridge Room Hive SF
Woodfall Temple Moving Flower Platform Room Beehive SF	Woodfall Temple Platform Hive SF
Woodfall Temple Final Room Right Lower Platform SF	Woodfall Temple Pre-Boss Lower Right Bubble SF
Woodfall Temple Final Room Left Upper Platform SF	Woodfall Temple Pre-Boss Upper Left Bubble SF
Woodfall Temple Final Room Bubble SF	Woodfall Temple Pre-Boss Pillar Bubble SF
Woodfall Temple Wooden Flower Deku Baba SF	Woodfall Temple Deku Baba SF
Woodfall Temple Push Block Bubble SF	Woodfall Temple Bridge Room Bubble SF
Woodfall Temple Wooden Flower Bubble SF	Woodfall Temple Main Room Bubble SF
Woodfall Temple Push Block Skulltula SF	Woodfall Temple Skulltula SF
Woodfall Temple Final Room Right Upper Platform SF	Woodfall Temple Pre-Boss Upper Right Bubble SF
Snowhead Temple Grey Door Near Bombable Stairs Box SF	Snowhead Temple Bombable Stairs Crate SF
Snowhead Temple Initial Runway Under Platform Bubble SF	Snowhead Temple Bridge Room Under Platform Bubble SF
Snowhead Temple Initial Runway Tower Bubble SF	Snowhead Temple Bridge Room Pillar Bubble SF
Great Bay Temple Pot At Bottom Of Blender SF	Great Bay Temple Blender Pot SF
Great Bay Temple Froggy Entrance Room Pot SF	Great Bay Temple Caged Chest Room Pot SF
Great Bay Temple Red-Green Pipe First Room Pot SF	Great Bay Temple Before Red Valve Room Pot SF
Great Bay Temple Before Boss Room Exit Tunnel Bubble SF	Great Bay Temple Pre-Boss Room Tunnel Bubble SF
Great Bay Temple Waterwheel Room Bubble Under Platform SF	Great Bay Temple Waterwheel Room Bubble SF
Great Bay Temple Before Boss Room Underneath Platform Bubble SF	Great Bay Temple Pre-Boss Room Platform Bubble SF
Southern Swamp Deku Trade Freestanding HP	Southern Swamp Freestanding HP
Goron Village Deku Trade Freestanding HP	Goron Village Freestanding HP
Zora Cape Near Great Fairy Grotto Chest	Zora Cape Grotto Chest
Great Bay Behind Fishermans Hut Grotto Chest	Great Bay Fisherman's Grotto Chest
Southern Swamp Mystery Woods Day 2 Grotto Chest	Southern Swamp Day 2 Grotto Chest
Southern Swamp Near Swamp Spider House Grotto Chest	Southern Swamp Grotto Chest
Termina Tall Grass Grotto Chest	Termina Grass Grotto Chest
Stone Tower Temple Inverted Eastern Air Gust Room Hall Floor Switch Chest	Stone Tower Temple Inverted Eastern Air Gust Room Switch Chest
Stone Tower Temple Inverted Eastern Air Gust Room Ice Eye Switch Chest	Stone Tower Temple Inverted Eastern Air Gust Room Frozen Switch Chest
Woodfall Temple Moving Flower Platform Room Chest	Woodfall Temple Ledge Chest
Woodfall Temple Wooden Flower Switch Chest	Woodfall Temple Switch Chest SF
Woodfall Temple Entrance Chest	Woodfall Temple Entrance Chest SF
Woodfall Temple Black Boe Room Chest	Woodfall Temple Dark Room Chest SF
Woodfall Temple Gagwab Chest	Woodfall Temple Turtle Chest
Woodfall Temple Boss Key Chest	Woodfall Temple Gekko Chest
Snowhead Temple Initial Runway Ice Blowers Chest	Snowhead Temple Bridge Room Freezard Chest
Snowhead Temple Orange Door Behind Block Chest	Snowhead Temple Behind Stacked Block Chest
Snowhead Temple Upstairs 2F Icicle Room Snowball Chest	Snowhead Temple Icicle Room Snowball Chest
Snowhead Temple Elevator Room Invisible Platform Chest	Snowhead Temple Elevator Room Invisible Platform Chest SF
Snowhead Temple Bottom Floor Switch Chest	Snowhead Temple Basement Switch Chest SF
Snowhead Temple Orange Door Upper Chest	Snowhead Temple Stacked Block Upper Chest SF
Snowhead Temple Upstairs 2F Icicle Room Hidden Chest	Snowhead Temple Icicle Room Hidden Chest SF
Snowhead Temple Column Room 2F Hidden Chest	Snowhead Temple Main Room Wall Chest SF
Snowhead Temple Green Door Ice Blowers Chest	Snowhead Temple Freezard Torch Room Chest SF
Snowhead Temple Light Blue Door Upper Chest	Snowhead Temple Frozen Block Upper Chest SF
Snowhead Temple 1st Wizzrobe Chest	Snowhead Temple Lower Wizzrobe Chest
Snowhead Temple Light Blue Door Center Chest	Snowhead Temple Frozen Block Chest
Snowhead Temple 2nd Wizzrobe Chest	Snowhead Temple Upper Wizzrobe Chest
Pirates' Fortress Near Egg Chest	Pirates' Fortress Interior Tank Chest
Pirates' Fortress Sewers Push Block Maze Chest	Pirates' Fortress Sewers Maze Chest
Pirates' Fortress Pirates Surrounding Chest	Pirates' Fortress Interior Guarded Chest
Ocean Spider House Dining Room Chandelier #3 Token 	Ocean Spider House Dining Room Chandelier #3 Token
Termina Tall Grass Chest	Termina Grass Chest
Zora Cape Upper Chest	Zora Cape Deku Flower Chest
Zora Cape Tree Chest	Zora Cape Scarecrow Chest
Pirates' Fortress Exterior Underwater Corner Near Fortress Chest	Pirates' Fortress Exterior Underwater Corner Chest
Graveyard Sonata To Wake Sleeping Skeleton Chest	Graveyard Captain Keeta Chest
Woodfall Near Swamp Entrance Chest	Woodfall Entrance Chest
Woodfall After Great Fairy Cave Chest	Woodfall Bridge Chest
Woodfall Near Owl Statue Chest	Woodfall Owl Statue Chest
